Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,11/11/2016,Buttercup Cafe,,,,1221 Helen Ave.,Missoula,MT,59801.0,,2,10.0,Meeting,GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,11/10/2016,Westridge Creative,,,,PO Box 8492,Missoula,MT,59807.0,,2,635.0,"Bulk Mailing, 1339 Walkcards",GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,11/06/2016,,Nick,,Davis,PO Box 1542,Lolo,MT,59847.0,,2,50.0,CAMPAIGN CONTRIBUTION,GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,11/06/2016,Shack Restaurant,,,,222 W. Main,Missoula,MT,59802.0,,2,38.0,Meeting,GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,10/31/2016,COSTCO,,,,3220 North Reserve St.,Missoula,MT,59808.0,,2,198.61,GOTV Food,GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,11/01/2016,,Denise,,Juneau for Congress - U.S. House of Representative,PO Box 563,Helena,MT,59624.0,,2,50.0,Event Attendance,GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,11/02/2016,Shack Restaurant,,,,222 W. Main,Missoula,MT,59802.0,,2,39.0,Meeting,GN,,,,
"Olsen, Andrea",10/28/2016 to 11/28/2016,C5,11/15/2016,Legislative Services Division,,,,PO Box 201706,Helena ,MT,59620.0,,2,74.33,"1000 Paper, Envelopes, Cards for Voter Communication",GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/07/2016,Missoula Fresh Market,,,,800 West Broadway,Missoula,MT,59802.0,,2,29.56,Food for fundraiser,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/07/2016,Costco,,,,2510 S Reserve St,Missoula,MT,59801.0,,2,284.44,Food for Fundraiser/ Volunteer Food,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/05/2016,Missoula Club,,,,,Missoula,MT,59802.0,,2,17.0,Volunteer Meals,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/18/2016,Bullock for Governor,,,,PO Box 1330,Helena,MT,59624.0,,2,100.0,Campaign event,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/09/2016,"Lynn Exe, Chef",,,,1013 S. 5th Street W.,Missoula,MT,59801.0,,2,250.0,Catering Expense,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/05/2016,,Carolyn,,Pease-Lopez for Senate,5723 Hwy 87 E,Billings,MT,59101.0,,2,50.0,Campaign Donation,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/07/2016,MDLCC,,,,303 N. Ewing,Helena,MT,59601.0,,2,50.0,Event,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/07/2016,MT Art and Framing,,,,709 Ronan Street,Missoula,MT,59801.0,,2,140.0,Display Framing for Fundraiser,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/20/2016,,Gail,L.,Gutsche,1530 Cooper St.,Missoula,MT,59802.0,,2,50.0,Donation ,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/05/2016,Dunwell for House,,,,2520 Lookout Circle,Helena,MT,59601.0,,2,50.0,Donation,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/05/2016,,Laurie,F,Bishop,211 S. Yellowstone St.,Livingston,MT,59047.0,,2,50.0,Donation - HD60,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/05/2016,,Jessica,,Karjala,PO Box 20584,Billings,MT,59104.0,,2,50.0,Donation - HD48,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/05/2016,,Margie,,McDonald,PO Box 245,Billings,MT,59103.0,,2,50.0,Donation - SD26,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/05/2016,,Addrian,,Marx,PO Box 514,Seeley Lake,MT,59868.0,,2,50.0,Donation - HD92,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/20/2016,,Andrew,,Person,P.O. Box 8452,Missoula,MT,59807.0,,2,50.0,Donation,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/20/2016,,Shane,A.,Morigeau,P.O. Box 7552,Missoula,MT,59807.0,,2,50.0,Donation ,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/09/2016,Sons of Norway Co.,,,,5795 US 93 S,Missoula ,MT,59804.0,,2,100.0,Rental of Lodge for Fundraiser,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/12/2016,Costco,,,,2510 S Reserve St,Missoula,MT,59801.0,,2,50.04,Volunteer Food,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/07/2016,Mountain Ink and Toner,,,,3055 N. Reserve Street,Missoula,MT,59808.0,,2,39.99,INK,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/09/2016,Lake Missoula Tea Company,,,,136 East Broadway,Missoula,MT,59802.0,,2,96.0,Tea for Fundraiser,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/26/2016,Shack Restaurant,,,,222 W. Main,Missoula,MT,59802.0,,2,20.1,Meeting,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/24/2016,Top Hat Lounge,,,,134 W Front St,Missoula,MT,59802.0,,2,30.0,Equal Pay Rally food,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/20/2016,Romano for Montana,,,,PO Box 6312 ,Helena,MT,59604.0,,2,50.0,Donation,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/20/2016,Sandefur for Justice,,,,PO Box 1932,"Great Falls, MT 59403",MT,59403.0,,2,50.0,Donation,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/20/2016,laslovich for state auditor,,,,P O Box 1558,Helena,MT,59601.0,,2,50.0,Donation,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/16/2016,Jeannette Rankin Peace Center,,,,519 South Higgins,Missoula,MT,59801.0,,2,60.0,Event Attendance,GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/20/2016,Westridge Creative,,,,PO Box 8492,Missoula,MT,59807.0,,2,972.5,"Bulk Mailing, 2300 pieces",GN,,,,
"Olsen, Andrea",10/05/2016 to 10/27/2016,C5,10/05/2016,Bullock for Governor,,,,PO Box 1330,Helena,MT,59624.0,,2,100.0,Donation,GN,,,,
"Olsen, Andrea",06/24/2016 to 10/04/2016,C5,09/26/2016,ActBlue,,,,366 Summer Street,Somerville,MA,2144.0,,2,1.98,Fee for Collecting Online Individual Contributions,GN,,,,
"Olsen, Andrea",06/24/2016 to 10/04/2016,C5,10/04/2016,The Shack,,,,222 W. Main St.,Missoula,MT,59802.0,,2,28.0,Meeting,GN,,,,
"Olsen, Andrea",01/14/2016 to 05/03/2016,C5,05/02/2016,USPS,,,,200 E Broadway St,Missoula,MT,59802.0,,2,242.52,Postage,PM,,,,
"Olsen, Andrea",01/14/2016 to 05/03/2016,C5,03/28/2016,ActBlue,,,,366 Summer Street,Somerville,MA,2144.0,,2,6.72,Fee charged for contribution paid using this service,PM,,,,
"Olsen, Andrea",01/14/2016 to 05/03/2016,C5,04/24/2016,Shack Restaurant,,,,222 W. Main,Missoula,MT,59802.0,,2,16.75,MTG - Campaign Tour,PM,,,,
"Olsen, Andrea",01/14/2016 to 05/03/2016,C5,02/01/2016,Montana Democratic Party,,,,"303 N, Ewing",Helena,MT,59601.0,,2,170.0,VAN Database Access Fee,PM,,,,
"Jurmu, John  O",10/23/2016 to 11/24/2016,C5,11/24/2016,,HRDC,,Gallatin Valley Food Bank,PO Box 1129,Bozeman,MT,59771.0,,2,103.37,Donation expense,GN,,,,
"Jurmu, John  O",06/28/2016 to 10/04/2016,C5,07/23/2016,Act Blue,,,,366 Summer Street,Somerville,MA,2144.0,,2,1.98,Service Fee,GN,,,,
"Jurmu, John  O",02/29/2016 to 05/02/2016,C5,04/04/2016,"InMotion Hosting, Inc.",,,,"6100 Center Drive, Suite ",Los Angeles,CA,90045.0,,2,67.12,Website Hosting,GN,,,,
"Jurmu, John  O",02/29/2016 to 05/02/2016,C5,04/04/2016,Envato,,,," PO Box 16122, Collins Street West",Victoria Australia ,,,,2,61.0,WordPress Website Software,GN,,,,
"Jurmu, John  O",02/29/2016 to 05/02/2016,C5,04/26/2016,High Country Gifts,,,,2825 W. Main St. #2D,Bozeman,MT,59718.0,,2,8.0,NAME BADGE,GN,,,,
"Jurmu, John  O",02/29/2016 to 05/02/2016,C5,04/10/2016,Casey's Corner Store,,,,1211 E Main St,Bozeman,MT,59715.0,,2,13.53,GAS TO ATTEND MDLCC TRAINING IN HELENA,GN,,,,
"Jurmu, John  O",02/29/2016 to 05/02/2016,C5,03/30/2016,Opportunity Bank,,,Opportunity Bank,1455 W Oak St,Bozeman,MT,59715.0,,2,21.05,Checks & Deposit Slips,GN,,,,
"Jurmu, John  O",02/29/2016 to 05/02/2016,C5,04/26/2016,Montana Democrats,,,,303 N. Ewing,Helena,MT,59601.0,,2,170.0,Van Access ,GN,,,,
"Crouch, Kenneth",10/23/2016 to 11/23/2016,C5,11/22/2016,,June,,Genger,1033 Avenue D,Billings,MT,59102.0,,2,222.57,Bookkeeping,GN,,,,
"Crouch, Kenneth",10/23/2016 to 11/23/2016,C5,11/05/2016,Artcraft Printers,,,,2001 1st Ave N,Billings,MT,59103.0,,2,545.0,"3000 Walk Cards, production and mailing",GN,,,,
"Crouch, Kenneth",10/23/2016 to 11/23/2016,C5,11/11/2016,,Kenneth,E,Crouch,1642 Wembly,Billings,MT,59102.0,,2,232.59,"Postage, paper, printer ink",GN,,,,
"Crouch, Kenneth",10/23/2016 to 11/23/2016,C5,11/11/2016,MDCCC2,,,,PO Box 802,Helena,MT,59624.0,,2,50.0,Card design,GN,,,,
"Crouch, Kenneth",06/23/2016 to 09/29/2016,C5,06/27/2016,Artcraft Printers,,,,2001 1st Ave N,Billings,MT,59103.0,,2,400.0,PRINTING,GN,,,,
"Crouch, Kenneth",06/23/2016 to 09/29/2016,C5,09/29/2016,Artcraft Printers,,,,2001 1st Ave N,Billings,MT,59103.0,,2,545.0,ADVERTISING,GN,,,,
"Crouch, Kenneth",06/23/2016 to 09/29/2016,C5,08/18/2016,Billings Times,,,,2919 Montana Ave.,Billings,MT,59101.0,,2,423.71,SIGNAGE,GN,,,,
"Crouch, Kenneth",06/23/2016 to 09/29/2016,C5,09/29/2016,,Ken,,Crouch,1642 Wembly Place,Billings,MT,59102.0,,2,71.97,SUPPLIES,GN,,,,
"Crouch, Kenneth",06/23/2016 to 09/29/2016,C5,08/18/2016,MDCCC2,,,,PO Box 802,Helena,MT,59624.0,,2,50.0,ADVERTISEMENT,GN,,,,
"Crouch, Kenneth",06/23/2016 to 09/29/2016,C5,09/28/2016,Democrat Committee,,,,PO Box 802,Helena,MT,59624.0,,2,170.0,Mailing List.,GN,,,,
"Ellis, Janet",03/06/2017 to 04/17/2017,C5,03/14/2017,,Vickie,L.,Jacobsen,938 Center Drive,Havre,MT,59501.0,,2,200.0,Donation,GN,,,,
"Ellis, Janet",03/06/2017 to 04/17/2017,C5,05/30/2017,Montana Conservation Voters,,,,PO Box 63,Billings,MT,59103.0,,2,500.0,Donation,GN,,,,
"Ellis, Janet",03/06/2017 to 04/17/2017,C5,04/04/2017,MDLCC,,,,303 N. Ewing,Helena,MT,59601.0,,2,300.0,Donation,GN,,,,
"Ellis, Janet",03/06/2017 to 04/17/2017,C5,04/05/2017,Carol's List,,,,PO Box 1447,Helena,MT,59624.0,,2,500.0,Donation,GN,,,,
"Ellis, Janet",03/06/2017 to 04/17/2017,C5,04/17/2017,,Janet,,Ellis,PO Box 385,Helena,MT,59624.0,,2,702.68,Transfer to Constituent Account,GN,,,,
"Ellis, Janet",11/24/2016 to 03/05/2017,C5,12/30/2016,MITA Photocopy Account,,,,,,,,,2,40.67,Copies,GN,,,,
"Ellis, Janet",10/28/2016 to 11/23/2016,C5,11/14/2016,Stampworks,,,,637 Helena Ave,Helena,MT,59601.0,,2,14.25,Purchase of name badge,GN,,,,
"Ellis, Janet",10/28/2016 to 11/23/2016,C5,11/14/2016,Montana Legislative Services,,,,PO Box 201706,Helena,MT,59620.0,,2,10.0,Purchase of MT Statutes,GN,,,,
"Ellis, Janet",09/30/2016 to 10/27/2016,C5,10/05/2016,Godaddy,,,,14445 N Hayden Road Ste 219,Scottsdale,AZ,85260.0,,2,30.34,.Com Domain Renewal,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Carolyn Pease-Lopez for MT Senate,,,,"5723 U.S. Highway 87 East,",Billings,MT,59101.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Shane Morigeau for HD 95,,,,P.O. Box 7552,Missoula,MT,59807.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Karjala for House,,,,6125 Masters Boulevard,Billings,MT,59106.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Friends of Zac Perry,,,,P.O. Box 268,Hungry Horse,MT,59919.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Hal Jacobson for SD 40,,,,4813 Highway 12 West,Helena,MT,59601.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Friends of Kimberly Dudik,,,,P.O. Box 16712,Missoula,MT,59808.0,,2,50.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,08/22/2016,Friends of Jen Gross,,,,211 S. 33rd St.,Billings,MT,59101.0,,2,170.0,Contribution ,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,08/08/2016,laslovich for state auditor,,,,P O Box 1558,Helena,MT,59601.0,,2,150.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,07/12/2016,MDLCC,,,,303 N. Ewing,Helena,MT,59601.0,,2,1000.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,John Fleming For HD 93,,,,55533 McKeever Rd.,St. Ignatius,MT,5986.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Chris Goodridge for HD 52,,,,440 Clark Avenue,Billings,MT,59101.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Virginia Court for State Legislature,,,,"18 Heatherwood Lane, ",Billings,MT,59101.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Steve Muggli for HD 38,,,,"276 Muggli Lane, ",Miles City,MT,59301.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Willis Curdy for HD 98,,,,11280 Kona Ranch Rd,Missoula,MT,59804.0,,2,75.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Jenny Eck for Montana,,,,PO Box 1206,Helena,MT,59624.0,,2,100.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,09/08/2016,Mary Ann Dunwell for HD 84,,,,PO Box 4656,Helena,MT,59604.0,,2,150.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,07/07/2016,US Post Office,,,,500 N Last Change Gulch,Helena,MT,59601.0,,2,215.0,Bulk Mail Permit Renewal,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,07/08/2016,MITA Photocopy Account,,,,,,,,,2,10.98,photocopies,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,07/07/2016,US Post Office,,,,500 N Last Change Gulch,Helena,MT,59601.0,,2,70.0,post office box renewal,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Kelly McCarthy for MT State House,,,,"625 Yellowstone Ave, ",Billings,MT,59101.0,,2,50.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Dave Fern for HD 5,,,,P.O. Box 4151,Whitefish,MT,59937.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Andrew Person for Legislature,,,,P.O. Box 8452,Missoula,MT,59807.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,08/25/2016,,Denise,,Juneau for Congress - U.S. House of Representative,PO Box 563,Helena,MT,59624.0,,2,500.0,Contribution ,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,09/18/2016,Lewis & Clark Democratic Central Committee,,,,PO Box 2238,Helena,MT,59635.0,,2,20.0,one ticket to the Lasagna Dinner,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,09/12/2016,Bullock for Governor,,,,PO Box 1330,Helena,MT,59624.0,,2,300.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Pat Noonan for PSC,,,,PO Box 90,Ramsay,MT,59748.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Tom France for SD 47,,,,Box 162,Arlee,MT,59821.0,,2,100.0,Contribution ,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,08/08/2016,Melissa Romano for Superintendent,,,,790 Wolf Rd,Helena,MT,59602.0,,2,150.0,Contribution ,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Sandefur for Justice,,,,PO Box 1932,"Great Falls, MT 59403",MT,59403.0,,2,200.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,09/18/2016,ActBlue,,,,366 Summer Street,Somerville,MA,2144.0,,2,0.99,Administrative overhead,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Addrian Marx for HD 92,,,,PO Box 514,Seeley Lake,MT,59868.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",06/23/2016 to 09/29/2016,C5,06/23/2016,Edie McCafferty for Senate,,,,1311 Stuart,Butte,MT,59701.0,,2,170.0,Contribution,GN,,,,
"Ellis, Janet",05/22/2016 to 06/22/2016,C5,06/21/2016,Larry Jent for Attorney General,,,,PO Box 1064,Helena,MT,59771.0,,2,150.0,Donation to Candidate,GN,,,,
"Ellis, Janet",05/22/2016 to 06/22/2016,C5,06/20/2016,Dunwell for House,,,,2520 Lookout Circle,Helena,MT,59601.0,,2,170.0,Donation to Candidate,GN,,,,
"Ellis, Janet",05/22/2016 to 06/22/2016,C5,06/21/2016,Laurie Bishop for HD 60,,,,211 S. Yellowstone,Livingston,MT,59047.0,,2,170.0,Donation to Candidate,GN,,,,
"Ellis, Janet",05/22/2016 to 06/22/2016,C5,06/21/2016,Gail Gutsche for PSC,,,,3010 St Thomas Dr,Missoula,MT,59803.0,,2,170.0,Donation to Candidate,GN,,,,
"Ellis, Janet",05/22/2016 to 06/22/2016,C5,06/21/2016,Shoots For Montana,,,,PO Box 80811,Billings,MT,59108.0,,2,170.0,Donation to Candidate,GN,,,,
"Ellis, Janet",05/22/2016 to 06/22/2016,C5,06/21/2016,Friends of Monica Lindeen,,,,PO Box 1307,Helena,MT,59624.0,,2,150.0,Donation to Candidate,GN,,,,
"Ellis, Janet",05/22/2016 to 06/22/2016,C5,06/19/2016,,Denise,,Roth Barber,513 Graham St,Helena,MT,59601.0,,2,50.0,RETURN CONTRIBUTION,GN,,,,
"Ellis, Janet",05/22/2016 to 06/22/2016,C5,06/20/2016,,Janet,H,Ellis,703 Breckenridge St,Helena,MT,59601.0,4355.0,2,209.76,"Reimbursement for expenses for May 12 Listening day (Food, Beverages, Paperware)",GN,,,,
"Ellis, Janet",05/22/2016 to 06/22/2016,C5,06/20/2016,Margie Macdonald For State Senate,,,,PO Box 245,Billings,MT,59103.0,,2,170.0,Donation to Candidate,GN,,,,
"Ellis, Janet",04/29/2016 to 05/21/2016,C5,05/11/2016,Lewis & Clark Democratic Central Committee,,,,PO Box 2238,Helena,MT,59635.0,,2,30.0,Donation to attend event,GN,,,,
"Ellis, Janet",04/29/2016 to 05/21/2016,C5,05/11/2016,Helena Parking Commission,,,,,Helena,MT,,,2,40.0,10 1-day parking passes for May 12 Listening Day so people could attend event at the Library,GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,02/12/2016,Artcraft Printers,,,,P.O. Box 310,Bozeman,MT,59771.0,,2,180.0,2000 Envelopes & 2000 pieces of letterhead for mailings,GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,02/12/2016,Artcraft Printers,,,,P.O.Box 310,Bozeman,MT,59771.0,,2,134.06,"Letterhead, Shipping Charges",GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,04/05/2016,MITA Photocopy Account,,,,,,,,,2,74.56,Photocopies,GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,03/12/2016,Montana Democratic Party,,,,PO Box 802,Helena,MT,59624.0,,2,120.0,2 General Admission Tickets to Mansfield Metcalf Celebration Dinner,GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,04/26/2016,Fundraiser,,,,650 Logan St,Helena,MT,59601.0,,2,120.0,Fundraiser for Lewis & Clark Co. Democratic Central Cmte,GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,07/20/2015,USPS,,,,500 North Last Chance Gulch,Helena,MT,59601.0,,2,225.0,New permit/New Mailer Anvil,GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,02/25/2016,ActBlue,,,,366 Summer Street,Somerville,MA,2144.0,,2,13.43,ActBLUE fees (online contribution service),GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,02/25/2016,USPS,,,,500 North Last Chance Gulch,Helena,MT,59601.0,,2,49.0,Stamps,GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,02/29/2016,ActBlue,,,,366 Summer Street,Somerville,MA,2144.0,,2,1.98,ActBLUE fees (online contribution service),GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,03/17/2016,ActBlue,,,,366 Summer Street,Somerville,MA,2144.0,,2,0.99,ActBLUE fees (online contribution service),GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,03/22/2016,ActBlue,,,,366 Summer Street,Somerville,MA,2144.0,,2,13.44,ActBLUE fees (online contribution service),GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,04/08/2016,ActBlue,,,,366 Summer Street,Somerville,MA,2144.0,,2,1.98,ActBLUE fees (online contribution service),GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,02/28/2016,ActBlue,,,,366 Summer Street,Somerville,MA,2144.0,,2,1.98,ActBLUE fees (online contribution service),GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,10/05/2015,Montana Legislative Services,,,,PO Box 201706,Helena,MT,59620.0,,2,10.0,"MCA 2015 (one-time sale, nonsubscription)",GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,11/01/2015,Montana Legislative Services,,,,PO Box 201706,Helena,MT,59620.0,,2,10.0,MCA on CD-ROM 2015,GN,,,,
"Ellis, Janet",06/25/2015 to 04/28/2016,C5,02/09/2016,USPS,,,,500 North Last Chance Gulch,Helena,MT,59601.0,,2,49.0,Stamps,GN,,,,
